text,drug,effect,indexes
"Here we describe another case of VOD occurring after LT, but in which the causative role was played by azathioprine.",azathioprine,VOD,"{'drug': {'start_char': [103], 'end_char': [115]}, 'effect': {'start_char': [33], 'end_char': [36]}}"
One case of tacrolimus-induced hepatic VOD developing after lung transplantation (LT) has been recently reported.,tacrolimus,hepatic VOD,"{'drug': {'start_char': [12], 'end_char': [22]}, 'effect': {'start_char': [31], 'end_char': [42]}}"
"Carbamazepine hypersensitivity syndrome is a rare, life-threatening condition.",Carbamazepine,hypersensitivity syndrome,"{'drug': {'start_char': [0], 'end_char': [13]}, 'effect': {'start_char': [14], 'end_char': [39]}}"
A patient with chronic myelomonocytic leukemia developed drug-induced pulmonary toxicity after using low dose oral etoposide.,etoposide,pulmonary toxicity,"{'drug': {'start_char': [115], 'end_char': [124]}, 'effect': {'start_char': [70], 'end_char': [88]}}"
"Because etoposide-induced pulmonary toxicity is an uncommon but serious adverse event, clinicians must be vigilant about the possibility of it, so that the optimal treatment can start as soon as possible.",etoposide,pulmonary toxicity,"{'drug': {'start_char': [8], 'end_char': [17]}, 'effect': {'start_char': [26], 'end_char': [44]}}"
PET scintigraphy of etoposide-induced pulmonary toxicity.,etoposide,pulmonary toxicity,"{'drug': {'start_char': [20], 'end_char': [29]}, 'effect': {'start_char': [38], 'end_char': [56]}}"
Detection of antineutrophil cytoplasmic antibody in a patient with L-tryptophan induced eosinophilia-myalgia syndrome.,L-tryptophan,eosinophilia-myalgia syndrome,"{'drug': {'start_char': [67], 'end_char': [79]}, 'effect': {'start_char': [88], 'end_char': [117]}}"
The Center for Disease Control has received numerous reports of an eosinophilia-myalgia syndrome related to products containing L-tryptophan.,L-tryptophan,eosinophilia-myalgia syndrome,"{'drug': {'start_char': [128], 'end_char': [140]}, 'effect': {'start_char': [67], 'end_char': [96]}}"
"Here, we report a case of RFP-induced hypothyroidism without underlying thyroid disease.",RFP,hypothyroidism,"{'drug': {'start_char': [26], 'end_char': [29]}, 'effect': {'start_char': [38], 'end_char': [52]}}"
Rifampin-induced hypothyroidism without underlying thyroid disease.,Rifampin,hypothyroidism,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [17], 'end_char': [31]}}"
"Rifampin (RFP) increases hepatic microsomal enzyme activity, and there are case reports of RFP-induced hypothyroidism, all associated with Hashimoto's thyroiditis.",RFP,Hashimoto's thyroiditis,"{'drug': {'start_char': [10, 91], 'end_char': [13, 94]}, 'effect': {'start_char': [139], 'end_char': [162]}}"
"Rifampin (RFP) increases hepatic microsomal enzyme activity, and there are case reports of RFP-induced hypothyroidism, all associated with Hashimoto's thyroiditis.",Rifampin,Hashimoto's thyroiditis,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [139], 'end_char': [162]}}"
"Rifampin (RFP) increases hepatic microsomal enzyme activity, and there are case reports of RFP-induced hypothyroidism, all associated with Hashimoto's thyroiditis.",RFP,hypothyroidism,"{'drug': {'start_char': [10, 91], 'end_char': [13, 94]}, 'effect': {'start_char': [103], 'end_char': [117]}}"
"Rifampin (RFP) increases hepatic microsomal enzyme activity, and there are case reports of RFP-induced hypothyroidism, all associated with Hashimoto's thyroiditis.",Rifampin,hypothyroidism,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [103], 'end_char': [117]}}"
"A patient is described who developed a rapid onset of pulmonary fibrosis following treatment with a new non-steroidal anti-inflammatory drug, nabumetone.",nabumetone,pulmonary fibrosis,"{'drug': {'start_char': [142], 'end_char': [152]}, 'effect': {'start_char': [54], 'end_char': [72]}}"
Pulmonary fibrosis associated with nabumetone.,nabumetone,Pulmonary fibrosis,"{'drug': {'start_char': [35], 'end_char': [45]}, 'effect': {'start_char': [0], 'end_char': [18]}}"
"Cyclosporine is a potent inhibitor of simvastatin metabolism, and may therefore facilitate simvastatin-induced rhabdomyolysis.",Cyclosporine,rhabdomyolysis,"{'drug': {'start_char': [0], 'end_char': [12]}, 'effect': {'start_char': [111], 'end_char': [125]}}"
"Cyclosporine is a potent inhibitor of simvastatin metabolism, and may therefore facilitate simvastatin-induced rhabdomyolysis.",simvastatin,rhabdomyolysis,"{'drug': {'start_char': [38, 91], 'end_char': [49, 102]}, 'effect': {'start_char': [111], 'end_char': [125]}}"
Discontinuation of simvastatin and cyclosporine resulted in resolution of rhabdomyolysis and normalization of renal function.,cyclosporine,rhabdomyolysis,"{'drug': {'start_char': [35], 'end_char': [47]}, 'effect': {'start_char': [74], 'end_char': [88]}}"
Discontinuation of simvastatin and cyclosporine resulted in resolution of rhabdomyolysis and normalization of renal function.,simvastatin,rhabdomyolysis,"{'drug': {'start_char': [19], 'end_char': [30]}, 'effect': {'start_char': [74], 'end_char': [88]}}"
Simvastatin-induced rhabdomyolysis following cyclosporine treatment for uveitis.,cyclosporine,rhabdomyolysis,"{'drug': {'start_char': [45], 'end_char': [57]}, 'effect': {'start_char': [20], 'end_char': [34]}}"
Simvastatin-induced rhabdomyolysis following cyclosporine treatment for uveitis.,Simvastatin,rhabdomyolysis,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [20], 'end_char': [34]}}"
Generalized lichen nitidus with involvement of the palms following interferon alpha treatment.,interferon alpha,Generalized lichen nitidus,"{'drug': {'start_char': [67], 'end_char': [83]}, 'effect': {'start_char': [0], 'end_char': [26]}}"
Here we present the case of a generalized lichen nitidus with involvement of the palms in a patient with hepatitis C after systemic treatment with interferon alpha and ribavirin.,interferon alpha,generalized lichen nitidus,"{'drug': {'start_char': [147], 'end_char': [163]}, 'effect': {'start_char': [30], 'end_char': [56]}}"
Here we present the case of a generalized lichen nitidus with involvement of the palms in a patient with hepatitis C after systemic treatment with interferon alpha and ribavirin.,ribavirin,generalized lichen nitidus,"{'drug': {'start_char': [168], 'end_char': [177]}, 'effect': {'start_char': [30], 'end_char': [56]}}"
It is tempting to speculate that interferon alpha may be involved in the pathogenesis of lichen nitidus.,interferon alpha,lichen nitidus,"{'drug': {'start_char': [33], 'end_char': [49]}, 'effect': {'start_char': [89], 'end_char': [103]}}"
Sirolimus-eluting stent thrombosis several years after clopidogrel discontinuation.,clopidogrel,Sirolimus-eluting stent thrombosis,"{'drug': {'start_char': [55], 'end_char': [66]}, 'effect': {'start_char': [0], 'end_char': [34]}}"
Treatment of APL in pregnancy is controversial as the use of ATRA has been questioned due to the teratogenic effect of retinoids.,ATRA,teratogenic effect,"{'drug': {'start_char': [61], 'end_char': [65]}, 'effect': {'start_char': [97], 'end_char': [115]}}"
Interstitial lung disease (ILD) related to therapy with the drug gefitinib has been well reported.,gefitinib,ILD,"{'drug': {'start_char': [65], 'end_char': [74]}, 'effect': {'start_char': [27], 'end_char': [30]}}"
Interstitial lung disease (ILD) related to therapy with the drug gefitinib has been well reported.,gefitinib,Interstitial lung disease,"{'drug': {'start_char': [65], 'end_char': [74]}, 'effect': {'start_char': [0], 'end_char': [25]}}"
Pulmonary toxicity associated with erlotinib.,erlotinib,Pulmonary toxicity,"{'drug': {'start_char': [35], 'end_char': [44]}, 'effect': {'start_char': [0], 'end_char': [18]}}"
"Similar to reports in patients receiving gefitinib, those with pathologic findings of UIP on resected lung specimens or known pulmonary fibrosis may be at particular risk for erlotinib pulmonary toxicity.",erlotinib,pulmonary fibrosis,"{'drug': {'start_char': [175], 'end_char': [184]}, 'effect': {'start_char': [126], 'end_char': [144]}}"
"Similar to reports in patients receiving gefitinib, those with pathologic findings of UIP on resected lung specimens or known pulmonary fibrosis may be at particular risk for erlotinib pulmonary toxicity.",erlotinib,pulmonary toxicity,"{'drug': {'start_char': [175], 'end_char': [184]}, 'effect': {'start_char': [185], 'end_char': [203]}}"
This case and other published evidence should alert physicians to the possibility of fatal erlotinib-induced ILD.,erlotinib,ILD,"{'drug': {'start_char': [91], 'end_char': [100]}, 'effect': {'start_char': [109], 'end_char': [112]}}"
We report a case of fatal pulmonary toxicity in a patient with advanced non-small cell lung cancer who received erlotinib.,erlotinib,fatal pulmonary toxicity,"{'drug': {'start_char': [112], 'end_char': [121]}, 'effect': {'start_char': [20], 'end_char': [44]}}"
It has been reported that fluoroquinolone antimicrobials prolong the corrected QT interval but rarely cause torsade de pointes.,fluoroquinolone,torsade de pointes,"{'drug': {'start_char': [26], 'end_char': [41]}, 'effect': {'start_char': [108], 'end_char': [126]}}"
Torsade de pointes associated with moxifloxacin: a rare but potentially fatal adverse event.,moxifloxacin,Torsade de pointes,"{'drug': {'start_char': [35], 'end_char': [47]}, 'effect': {'start_char': [0], 'end_char': [18]}}"
AIM: To report three cases of extensive skin necrosis in cirrhotic patients treated with the vasoconstrictor agent terlipressin (Glypressin).,Glypressin,skin necrosis,"{'drug': {'start_char': [129], 'end_char': [139]}, 'effect': {'start_char': [40], 'end_char': [53]}}"
AIM: To report three cases of extensive skin necrosis in cirrhotic patients treated with the vasoconstrictor agent terlipressin (Glypressin).,terlipressin,skin necrosis,"{'drug': {'start_char': [115], 'end_char': [127]}, 'effect': {'start_char': [40], 'end_char': [53]}}"
"Both colchicine and statin therapy may be associated with myopathy, which usually occurs after several months of therapy.",colchicine,myopathy,"{'drug': {'start_char': [5], 'end_char': [15]}, 'effect': {'start_char': [58], 'end_char': [66]}}"
"Both colchicine and statin therapy may be associated with myopathy, which usually occurs after several months of therapy.",statin,myopathy,"{'drug': {'start_char': [20], 'end_char': [26]}, 'effect': {'start_char': [58], 'end_char': [66]}}"
Rapid onset of muscle weakness (rhabdomyolysis) associated with the combined use of simvastatin and colchicine.,colchicine,muscle weakness,"{'drug': {'start_char': [100], 'end_char': [110]}, 'effect': {'start_char': [15], 'end_char': [30]}}"
Rapid onset of muscle weakness (rhabdomyolysis) associated with the combined use of simvastatin and colchicine.,simvastatin,muscle weakness,"{'drug': {'start_char': [84], 'end_char': [95]}, 'effect': {'start_char': [15], 'end_char': [30]}}"
Rapid onset of muscle weakness (rhabdomyolysis) associated with the combined use of simvastatin and colchicine.,colchicine,rhabdomyolysis,"{'drug': {'start_char': [100], 'end_char': [110]}, 'effect': {'start_char': [32], 'end_char': [46]}}"
Rapid onset of muscle weakness (rhabdomyolysis) associated with the combined use of simvastatin and colchicine.,simvastatin,rhabdomyolysis,"{'drug': {'start_char': [84], 'end_char': [95]}, 'effect': {'start_char': [32], 'end_char': [46]}}"
"The concomitant use, however, of colchicine and statin has been associated with the rapid onset of muscle weakness.",colchicine,muscle weakness,"{'drug': {'start_char': [33], 'end_char': [43]}, 'effect': {'start_char': [99], 'end_char': [114]}}"
"The concomitant use, however, of colchicine and statin has been associated with the rapid onset of muscle weakness.",statin,muscle weakness,"{'drug': {'start_char': [48], 'end_char': [54]}, 'effect': {'start_char': [99], 'end_char': [114]}}"
We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,colchicine,acute weakness,"{'drug': {'start_char': [194], 'end_char': [204]}, 'effect': {'start_char': [130], 'end_char': [144]}}"
We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,simvastatin,acute weakness,"{'drug': {'start_char': [88], 'end_char': [99]}, 'effect': {'start_char': [130], 'end_char': [144]}}"
We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,simvastatin,mild chronic renal insufficiency,"{'drug': {'start_char': [88], 'end_char': [99]}, 'effect': {'start_char': [35], 'end_char': [67]}}"
